"OrderID","ProductID","UnitPrice","Quantity","Discount"
10248,11,"14.0000",12,0
10248,42,"9.8000",10,0
10248,72,"34.8000",5,0
10249,14,"18.6000",9,0
10249,51,"42.4000",40,0
10250,41,"7.7000",10,0
10250,51,"42.4000",35,0.15
10250,65,"16.8000",15,0.15
10251,22,"16.8000",6,0.05
10251,57,"15.6000",15,0.05
10251,65,"16.8000",20,0
10252,20,"64.8000",40,0.05
10252,33,"2.0000",25,0.05
10252,60,"27.2000",40,0
10253,31,"10.0000",20,0
10253,39,"14.4000",42,0
10253,49,"16.0000",40,0
10254,24,"3.6000",15,0.15
10254,55,"19.2000",21,0.15
10254,74,"8.0000",21,0
10255,2,"15.2000",20,0
10255,16,"13.9000",35,0
10255,36,"15.2000",25,0
10255,59,"44.0000",30,0
10256,53,"26.2000",15,0
10256,77,"10.4000",12,0
10257,27,"35.1000",25,0
10257,39,"14.4000",6,0
10257,77,"10.4000",15,0
10258,2,"15.2000",50,0.2
10258,5,"17.0000",65,0.2
10258,32,"25.6000",6,0.2
10259,21,"8.0000",10,0
10259,37,"20.8000",1,0
10260,41,"7.7000",16,0.25
10260,57,"15.6000",50,0
10260,62,"39.4000",15,0.25
10260,70,"12.0000",21,0.25
10261,21,"8.0000",20,0
10261,35,"14.4000",20,0
10262,5,"17.0000",12,0.2
10262,7,"24.0000",15,0
10262,56,"30.4000",2,0
10263,16,"13.9000",60,0.25
10263,24,"3.6000",28,0
10263,30,"20.7000",60,0.25
10263,74,"8.0000",36,0.25
10264,2,"15.2000",35,0
10264,41,"7.7000",25,0.15
10265,17,"31.2000",30,0
10265,70,"12.0000",20,0
10266,12,"30.4000",12,0.05
10267,40,"14.7000",50,0
10267,59,"44.0000",70,0.15
10267,76,"14.4000",15,0.15
10268,29,"99.0000",10,0
10268,72,"27.8000",4,0
10269,33,"2.0000",60,0.05
10269,72,"27.8000",20,0.05
10270,36,"15.2000",30,0
10270,43,"36.8000",25,0
10271,33,"2.0000",24,0
10272,20,"64.8000",6,0
10272,31,"10.0000",40,0
10272,72,"27.8000",24,0
10273,10,"24.8000",24,0.05
10273,31,"10.0000",15,0.05
10273,33,"2.0000",20,0
10273,40,"14.7000",60,0.05
10273,76,"14.4000",33,0.05
10274,71,"17.2000",20,0
10274,72,"27.8000",7,0
10275,24,"3.6000",12,0.05
10275,59,"44.0000",6,0.05
10276,10,"24.8000",15,0
10276,13,"4.8000",10,0
10277,28,"36.4000",20,0
10277,62,"39.4000",12,0
10278,44,"15.5000",16,0
10278,59,"44.0000",15,0
10278,63,"35.1000",8,0
10278,73,"12.0000",25,0
10279,17,"31.2000",15,0.25
10280,24,"3.6000",12,0
10280,55,"19.2000",20,0
10280,75,"6.2000",30,0
10281,19,"7.3000",1,0
10281,24,"3.6000",6,0
10281,35,"14.4000",4,0
10282,30,"20.7000",6,0
10282,57,"15.6000",2,0
10283,15,"12.4000",20,0
10283,19,"7.3000",18,0
10283,60,"27.2000",35,0
10283,72,"27.8000",3,0
10284,27,"35.1000",15,0.25
10284,44,"15.5000",21,0
10284,60,"27.2000",20,0.25
10284,67,"11.2000",5,0.25
10285,1,"14.4000",45,0.2,
